Order_ID,Order_Date,Region,Product_Category,Product_Name,Quantity,Unit_Price,Discount,Revenue,Cost,Profit
ORD101084,2023-03-01 00:00:00,North America,Home,Blender,100,454.32,0.1,,51730.14,
ORD108018,2023-03-09 00:00:00,Europe,Toys,Doll,1,143.51,0.0,143.51,143.02,0.49
ORD104865,2023-05-10 00:00:00,North America,Books,Sci-Fi,50,238.72,0.1,,9825.43,
ORD101573,2023-02-02 00:00:00,Europe,Home,Lamp,1,392.44,0.1,,321.11,
ORD107094,2023-11-02 00:00:00,Europe,Clothing,Jeans,50,145.53,0.2,5821.2,5915.05,-93.85
ORD110993,2023-02-01 00:00:00,Asia,Electronics,Laptop,5,95.35,0.3,333.725,509.97,-176.245
ORD110163,2023-08-12 00:00:00,Africa,Home,Blender,3,110.48,0.1,,381.91,
ORD106852,2023-11-11 00:00:00,Africa,Clothing,Shoes,100,153.67,0.0,15367.0,16875.91,-1508.91
ORD110850,2023-03-05 00:00:00,Asia,Toys,Puzzle,2,80.6,0.1,,121.42,
ORD106668,2023-01-01 00:00:00,South America,Home,Vacuum,2,181.31,0.2,290.096,287.73,2.366
ORD103428,2023-03-05 00:00:00,Asia,Toys,Drone,50,263.71,0.1,11866.95,15291.95,-3425.0
ORD104441,2023-12-03 00:00:00,South America,Toys,Puzzle,5,373.07,0.3,1305.745,1951.02,-645.275
ORD108530,2023-01-05 00:00:00,Asia,Electronics,Headphones,5,438.69,0.1,1974.105,1893.14,80.965
ORD109457,2023-06-04 00:00:00,South America,Electronics,Headphones,3,322.94,0.2,775.056,743.04,32.016
ORD100735,2023-08-10 00:00:00,North America,Home,Blender,2,207.54,0.0,415.08,472.43,-57.35
ORD101400,2023-04-04 00:00:00,Asia,Clothing,T-Shirt,100,292.91,0.2,23432.8,27784.07,-4351.27
ORD108027,2023-11-02 00:00:00,South America,Toys,Puzzle,100,141.1,0.1,,15800.29,
ORD111554,2023-04-11 00:00:00,North America,Toys,Drone,2,208.38,0.2,333.408,468.56,-135.152
ORD106012,2023-05-12 00:00:00,Europe,Home,Blender,3,448.27,0.3,941.367,1399.69,-458.323
ORD110394,2023-02-02 00:00:00,Europe,Home,Lamp,100,499.56,0.1,,53190.27,
ORD107792,2023-05-01 00:00:00,North America,Books,Biography,5,76.66,0.05,364.135,395.37,-31.235
ORD107080,2023-09-09 00:00:00,Europe,Home,Lamp,100,6.69,0.0,669.0,710.66,-41.66
ORD105218,2023-08-06 00:00:00,Africa,Electronics,Laptop,5,194.94,0.1,,892.79,
ORD109675,2023-03-07 00:00:00,South America,Toys,Drone,2,199.59,0.1,359.262,398.08,-38.818
ORD101508,2023-09-10 00:00:00,Asia,Books,Self Help,5,271.22,0.05,1288.295,991.38,296.915
ORD101160,2023-02-07 00:00:00,Africa,Clothing,Jeans,100,271.93,0.0,27193.0,21531.65,5661.35
ORD102806,2023-05-11 00:00:00,Europe,Books,Self Help,3,254.42,0.1,,873.65,
ORD104936,2023-03-05 00:00:00,Asia,Toys,Doll,2,491.94,0.1,,789.24,
ORD101340,2023-07-07 00:00:00,Europe,Clothing,Shoes,5,300.58,0.1,,1298.99,
ORD105571,2023-03-12 00:00:00,South America,ELECTRONICS,Unknown,5,320.81,0.2,1283.24,1587.15,-303.91
ORD101395,2023-04-09 00:00:00,Africa,Toys,Board Game,5,229.8,0.2,919.2,1206.59,-287.39
ORD101832,2023-05-01 00:00:00,South America,Toys,Doll,1,313.43,0.05,297.7585,244.3,53.4585
ORD104651,2023-12-01 00:00:00,Europe,Home,Vacuum,50,97.08,0.1,4368.6,3817.66,550.94
