Order_ID,Order_Date,Region,Product_Category,Product_Name,Quantity,Unit_Price,Discount,Revenue,Cost,Profit
ORD101084,03-01-2023,North America,Home,Blender,100,454.32,,,51730.14,
ORD108018,03-09-2023,Europe,Toys,Doll,1,143.51,0,143.51,143.02,0.49
ORD106466,27-09-2023,Asia,Books,Biography,100,19.25,0.05,1828.75,2221.7,-392.95
ORD104865,05-10-2023,North America,Books,Sci-Fi,50,238.72,,,9825.43,
ORD101573,02-02-2023,Europe,Home,Lamp,1,392.44,,,321.11,
ORD107094,11-02-2023,Europe,Clothing,Jeans,50,145.53,0.2,5821.2,5915.05,-93.85
ORD101161,27-05-2023,South America,Books,Self Help,1,198.13,0.05,188.2235,198,-9.7765
ORD103335,28-10-2023,Asia,Clothing,T-Shirt,100,138.72,,,15737.42,
ORD107885,29-03-2023,North America,Books,Self Help,1,262.37,0.3,183.659,305.52,-121.861
ORD104543,24-10-2023,Asia,Clothing,Shoes,1,106.6,0.2,85.28,109.48,-24.2
ORD106904,23-11-2023,Europe,Electronics,Smartphone,10,38.28,0,382.8,360.44,22.36
ORD110993,02-01-2023,Asia,Electronics,Laptop,5,95.35,0.3,333.725,509.97,-176.245
ORD101160,27-04-2023,Asia,Toys,Board Game,5,131.05,0.2,524.2,584.57,-60.37
ORD109946,27-01-2023,Europe,books,Unknown,1,227.98,0.2,182.384,181.07,1.314
ORD110163,08-12-2023,Africa,Home,Blender,3,110.48,,,381.91,
ORD107095,19-02-2023,South America, electronics ,Unknown,100,69.44,0.1,6249.6,8177.87,-1928.27
ORD105023,27-07-2023,Europe,Electronics,Smartphone,50,475.33,0.2,19013.2,27061,-8047.8
ORD106852,11-11-2023,Africa,Clothing,Shoes,100,153.67,0,15367,16875.91,-1508.91
ORD111265,25-03-2023,North America,Books,Self Help,10,326.55,0.2,2612.4,2612.18,0.22
ORD110850,03-05-2023,Asia,Toys,Puzzle,2,80.6,,,121.42,
ORD100373,17-03-2023,South America,Home,Lamp,100,400.38,,,28592.3,
ORD106668,01-01-2023,South America,Home,Vacuum,2,181.31,0.2,290.096,287.73,2.366
ORD110497,25-02-2023,North America,Home,Lamp,2,472.36,0.2,755.776,749.38,6.396
ORD101043,15-12-2023,Africa,Clothing,Shoes,5,474.11,0.2,1896.44,2759.59,-863.15
ORD103428,03-05-2023,Asia,Toys,Drone,50,263.71,0.1,11866.95,15291.95,-3425
ORD101028,14-02-2023,Africa,Electronics,Camera,5,475.47,0.3,1664.145,2238.64,-574.495
ORD103155,18-03-2023,Europe,Books,Biography,3,62.26,0.1,168.102,203.47,-35.368
ORD103748,14-06-2023,Asia,Books,Biography,3,10.47,,,28.24,
ORD102247,20-02-2023,South America,Books,Sci-Fi,10,267.55,,,3204.55,
ORD107760,20-09-2023,South America,Clothing,T-Shirt,50,85.51,,,4536.98,
ORD106913,22-01-2023,South America,ELECTRONICS,Unknown,100,319.22,,,33597.92,
ORD104441,12-03-2023,South America,Toys,Puzzle,5,373.07,0.3,1305.745,1951.02,-645.275
ORD103862,14-09-2023,Asia,Home,Vacuum,50,189.38,0,9469,8013.37,1455.63
ORD102041,15-06-2023,Asia,Home,Cookware,1,472.56,0.3,330.792,542,-211.208
ORD108530,01-05-2023,Asia,Electronics,Headphones,5,438.69,0.1,1974.105,1893.14,80.965
ORD105834,16-07-2023,Europe,Clothing,Jeans,3,457.4,0.2,1097.76,1012.23,85.53
ORD109457,06-04-2023,South America,Electronics,Headphones,3,322.94,0.2,775.056,743.04,32.016
ORD100735,08-10-2023,North America,Home,Blender,2,207.54,0,415.08,472.43,-57.35
ORD106262,26-11-2023,Europe,Books,Biography,100,149.91,0.3,10493.7,10908.23,-414.53
ORD100294,2023-13-40,Asia,Home,Lamp,3,303.04,0.05,863.664,1042.6,-178.936
ORD108251,2023-13-40,South America,Books,Novel,50,287.47,0.3,10061.45,14570.28,-4508.83
ORD102697,23-04-2023,South America,Electronics,Laptop,3,138.94,0.2,333.456,483.47,-150.014
ORD101400,04-04-2023,Asia,Clothing,T-Shirt,100,292.91,0.2,23432.8,27784.07,-4351.27
ORD108027,11-02-2023,South America,Toys,Puzzle,100,141.1,,,15800.29,
ORD100176,2023-13-40,North America,Books,Novel,50,451.11,0.05,21427.725,18163.14,3264.585
ORD106043,15-04-2023,South America,Toys,Doll,10,289.01,0,2890.1,2953.23,-63.13
ORD111554,04-11-2023,North America,Toys,Drone,2,208.38,0.2,333.408,468.56,-135.152
ORD106012,05-12-2023,Europe,Home,Blender,3,448.27,0.3,941.367,1399.69,-458.323
ORD104216,15-05-2023,North America,Books,Biography,3,482.2,0,1446.6,1528.84,-82.24
ORD111351,15-07-2023,Europe,Toys,Drone,100,241.13,0.2,19290.4,18957.53,332.87
ORD106416,24-09-2023,Africa,Toys,Doll,50,33.34,0,1667,1359.08,307.92
